Inquiry ID,Question,Viewed Response Matches,Unique User ID,First Name,Last Name,Question Source,Date/Time,Rating
518276,Change password,How do I update my security settings?,1199396,,,manual entry,1/1/2018 0:55,
518277,How to change payment date on visa cr card,How do I make a payment?,1199397,,,manual entry,1/1/2018 0:55,
518280,How can i find my routing number,How do I determine my routing or account number?,1199398,,,manual entry,1/1/2018 0:55,
518284,Change my address,How do I update my personal profile?,1199400,,,manual entry,1/1/2018 0:57,
518287,No I need to change my address I currently have my account under as I just moved.,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199400,,,manual entry,1/1/2018 0:58,
518294,How can I get the international swift code?,What is U.S. Bank's SWIFT code?,1199403,,,manual entry,1/1/2018 1:02,
518296,Add a savings account,What types of savings accounts are available?,1199404,,,manual entry,1/1/2018 1:04,
518297,Change address,How do I update my personal profile?,1199405,,,manual entry,1/1/2018 1:06,
518303,"Hi I transferred the money, but he is didn&acirc;t get it and also money is gone from my account",What are my options for transferring money?,1199407,,,manual entry,1/1/2018 1:08,
518304,How to make a savings account,What types of savings accounts are available?,1199404,,,manual entry,1/1/2018 1:08,
518306,Zelle,"How do I send, receive, or request money?",1199408,,,manual entry,1/1/2018 1:09,
518310,How to stop a payment,How do I stop a payment made from U.S. Bank?,1199409,,,manual entry,1/1/2018 1:09,
518317,Stop a payment,How do I stop a payment made from U.S. Bank?,1199409,,,manual entry,1/1/2018 1:10,
518321,Why is my card being declined,Why was my card declined?,1199410,,,manual entry,1/1/2018 1:12,
518323,Teller hold ####,How do I locate a branch?,1199411,,,manual entry,1/1/2018 1:13,
518324,Do I need to tell you the name of the person sending money?,"How do I send, receive, or request money?",1199408,,,manual entry,1/1/2018 1:13,
518325,What is Teller Hold #####,How do I locate a branch?,1199411,,,manual entry,1/1/2018 1:13,
518333,Send money using western union,"How do I send, receive, or request money?",1199413,,,manual entry,1/1/2018 1:19,
518341,Limit on sending money,"How do I send, receive, or request money?",1199413,,,manual entry,1/1/2018 1:21,
518347,What is my routing and account number?,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199415,,,manual entry,1/1/2018 1:24,
518350,Can make payment to my credit card,How do I make a payment?,1199416,,,manual entry,1/1/2018 1:25,
518357,How can I receive money with zelle,How do I receive money?,1199419,,,manual entry,1/1/2018 1:28,
518359,Can I cancel an account online,Can I suspend or cancel my account?,1199420,,,manual entry,1/1/2018 1:28,
518366,Why in all the stores my card is decline and i have money on my acount,Why was my card declined?,1199421,,,manual entry,1/1/2018 1:29,
518367,What should I do if my balance is negative?,What is my available balance?,1199422,,,manual entry,1/1/2018 1:30,
518369,Why isn't my balance showing in my credit card,What is my available balance?,1199423,,,manual entry,1/1/2018 1:31,
518371,How to send money with zelle,"How do I send, receive, or request money?",1199424,,,manual entry,1/1/2018 1:32,
518374,How long will it take for my credit card balance to show up after I purchase something,What is my available balance?,1199423,,,manual entry,1/1/2018 1:32,
518381,Why is my credit card balance pending,What is my available balance?,1199423,,,manual entry,1/1/2018 1:33,
518385,Credit line,What types of loans and lines of credit are available?,1199426,,,manual entry,1/1/2018 1:36,
518396,NEArest atm,How do I locate a branch?,1199432,,,manual entry,1/1/2018 1:44,
518397,What's my account number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199433,,,manual entry,1/1/2018 1:44,
518405,How do i see all deposit for my account,How do I view my transaction history?,1199436,,,manual entry,1/1/2018 1:47,
518418,How do see all my deposits,How do I view my transaction history?,1199442,,,manual entry,1/1/2018 1:57,
518423,Pending deposit hold,Transaction Inquiry - I do not recognize this transaction,1199443,,,manual entry,1/1/2018 2:00,
518426,What&acirc;s my account number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199444,,,manual entry,1/1/2018 2:01,
518427,I haven&acirc;t received my new card,How do I get a replacement card?,1199445,,,manual entry,1/1/2018 2:01,
518431,Do I have a pending deposit,Transaction Inquiry - I do not recognize this transaction,1199446,,,manual entry,1/1/2018 2:04,
518443,Whom do I notify if I will be using my debit card out of the country?,How do I activate my check card?,1199449,,,manual entry,1/1/2018 2:09,
518444,Travel with debit card,How do I notify U.S. Bank that I'll be traveling?,1199449,,,manual entry,1/1/2018 2:10,
518445,What is my routing number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199450,,,manual entry,1/1/2018 2:11,
518450,Where's my new debit card,How do I get a replacement card?,1199452,,,manual entry,1/1/2018 2:12,
518461,What is my card pin number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199457,,,manual entry,1/1/2018 2:17,
518466,How do I activate my debit card?,How do I activate my check card?,1199459,,,manual entry,1/1/2018 2:23,
518468,Forgot my pin number,How do I reset my PIN number?,1199460,,,manual entry,1/1/2018 2:25,
518471,Need new card,How do I get a replacement card?,1199463,,,manual entry,1/1/2018 2:27,
518477,Phone hours,How do I locate a branch?,1199464,,,manual entry,1/1/2018 2:28,
518478,Forget it,What should I do if I suspect fraud?,1199464,,,manual entry,1/1/2018 2:28,
518492,How much interest do I pay on my credit card?,How do I make a payment?,1199468,,,manual entry,1/1/2018 2:31,
518494,"I&acirc;m trying to pay my credit card, but my pay from accounts aren&acirc;t showing up.",How do I cancel my credit card?,1199470,,,manual entry,1/1/2018 2:34,
518498,Credit card balance transfer check,What is my available balance?,1199471,,,manual entry,1/1/2018 2:38,
518500,What do i need to start a credit card,How do I activate my credit card?,1199472,,,manual entry,1/1/2018 2:39,
518501,How do I change my password,How do I update my security settings?,1199473,,,manual entry,1/1/2018 2:39,
518506,Where do I go to change password,How do I update my security settings?,1199473,,,manual entry,1/1/2018 2:40,
518511,"Why am i being charged interest? I was supposed to be ##### for ## months, not ##",Transaction Inquiry - I do not recognize this transaction,1199477,,,manual entry,1/1/2018 2:41,
518515,How can I transfer money from my other account to my account which is negative?,What are my options for transferring money?,1199478,,,manual entry,1/1/2018 2:42,
518516,How to receive money through zellep,How do I receive money?,1199479,,,manual entry,1/1/2018 2:42,
518521,Can I cancel transactions?,How do I stop a payment made from U.S. Bank?,1199481,,,manual entry,1/1/2018 2:43,
518524,Whats my account number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199482,,,manual entry,1/1/2018 2:43,
518527,How do I enable my overdraft protection on the app,How do I download the U.S. Bank Mobile App?,1199483,,,manual entry,1/1/2018 2:49,
518531,Cancel account,Can I suspend or cancel my account?,1199485,,,manual entry,1/1/2018 2:53,
518536,Lost card,How do I get a replacement card?,1199487,,,manual entry,1/1/2018 2:57,
518544,I cannt the app,How do I download the U.S. Bank Mobile App?,1199486,,,manual entry,1/1/2018 2:58,
518556,What is my user name,How do I update my personal profile?,1199493,,,manual entry,1/1/2018 3:09,
518558,Lost my card,How do I get a replacement card?,1199494,,,manual entry,1/1/2018 3:10,
518562,Why isn&acirc;t my online banking app working,How do I download the U.S. Bank Mobile App?,1199496,,,manual entry,1/1/2018 3:11,
518563,My online banking app on my,How do I download the U.S. Bank Mobile App?,1199496,,,manual entry,1/1/2018 3:11,
518565,my online banking app on my phone won&acirc;t load all the way,How do I download the U.S. Bank Mobile App?,1199496,,,manual entry,1/1/2018 3:11,
518572,Lost stolen,How do I get a replacement card?,1199500,,,manual entry,1/1/2018 3:20,
518581,Travel,How do I notify U.S. Bank that I'll be traveling?,1199503,,,manual entry,1/1/2018 3:27,
518584,Will my credit score go down if the co-signer is making late payments?,How do I make a payment?,1199505,,,manual entry,1/1/2018 3:28,
518586,I want to stop a recurring payment,How do I stop a payment made from U.S. Bank?,1199506,,,manual entry,1/1/2018 3:28,
518589,Recurring payment from my checking on,How do I make a payment?,1199506,,,manual entry,1/1/2018 3:31,
518590,Stop payment,How do I stop a payment made from U.S. Bank?,1199506,,,manual entry,1/1/2018 3:31,
518593,Am I receiving a transfer money from someone,What are my options for transferring money?,1199509,,,manual entry,1/1/2018 3:34,
518595,How do recipients register with zelle,"How do I send, receive, or request money?",1199511,,,manual entry,1/1/2018 3:34,
518598,Well I have an email stating that I will be receiving money n amount and I didn&acirc;t have my money or how does it work,How do I receive money?,1199509,,,manual entry,1/1/2018 3:35,
518605,Cancel a payment,How do I cancel a payment to a business?,1199510,,,manual entry,1/1/2018 3:36,
518618,how can I cancel cards,How do I cancel my credit card?,1199514,,,manual entry,1/1/2018 3:38,
518622,How does a recipient register with zelle,"How do I send, receive, or request money?",1199511,,,manual entry,1/1/2018 3:40,
518633,How do I order a replacement card,How do I get a replacement card?,1199520,,,manual entry,1/1/2018 3:54,
518634,Debit card protection,How do I get a replacement card?,1199519,,,manual entry,1/1/2018 3:54,
518638,Branch near me,How do I locate a branch?,1199521,,,manual entry,1/1/2018 3:55,
518641,Can't find my checking accounts,How do I determine my routing or account number?,1199524,,,manual entry,1/1/2018 4:02,
518642,Will my automatic transfer from another institution that was completed on ########## be available today ######## as it's set to available the ### of every month,What are my options for transferring money?,1199525,,,manual entry,1/1/2018 4:05,
518643,What is my routing number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199526,,,manual entry,1/1/2018 4:05,
518647,How do I access my checking account information,How do I view my transaction history?,1199528,,,manual entry,1/1/2018 4:12,
518658,Can I pay my rent from the mobile app,How do I make a payment?,1199533,,,manual entry,1/1/2018 4:17,
518663,Travel,How do I notify U.S. Bank that I'll be traveling?,1199534,,,manual entry,1/1/2018 4:18,
518666,Account number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199536,,,manual entry,1/1/2018 4:23,
518670,Close account,Can I suspend or cancel my account?,1199537,,,manual entry,1/1/2018 4:27,
518673,My card is being declined,Why was my card declined?,1199538,,,manual entry,1/1/2018 4:28,
518678,How does send money work?,"How do I send, receive, or request money?",1199541,,,manual entry,1/1/2018 4:32,
518679,"I deposited a #### dollar check, how long will it be until funds are available",What is my available balance?,1199539,,,manual entry,1/1/2018 4:32,
518682,What kind of saving account options,What types of savings accounts are available?,1199540,,,manual entry,1/1/2018 4:32,
518687,How does send money work?,"How do I send, receive, or request money?",1199541,,,manual entry,1/1/2018 4:33,
518697,Help,Hello,1199544,,,manual entry,1/1/2018 4:37,
518705,Cancel card,How do I cancel my credit card?,1199549,,,manual entry,1/1/2018 4:39,
518718,How to freeze account,Can I suspend or cancel my account?,1199552,,,manual entry,1/1/2018 4:41,
518723,Close Account,Can I suspend or cancel my account?,1199555,,,manual entry,1/1/2018 4:48,
518726,How do I receive money?,How do I receive money?,1199556,,,manual entry,1/1/2018 4:52,
518730,Hello my card is being declined,Why was my card declined?,1199558,,,manual entry,1/1/2018 4:57,
518733,What is my available credit?,What is my available balance?,1199559,,,manual entry,1/1/2018 4:59,
518737,How do I receive money?,How do I receive money?,1199562,,,manual entry,1/1/2018 5:00,
518746,Fraud,What should I do if I suspect fraud?,1199565,,,manual entry,1/1/2018 5:07,
518749,How to report fraud,What should I do if I suspect fraud?,1199565,,,manual entry,1/1/2018 5:12,
518755,How do I change my password?,How do I update my security settings?,1199571,,,manual entry,1/1/2018 5:40,
518759,WHat is my account number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199572,,,manual entry,1/1/2018 5:52,
518761,Account number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199573,,,manual entry,1/1/2018 5:54,
518769,How do I receive money from western union,How do I receive money?,1199577,,,manual entry,1/1/2018 5:55,
518777,Reward balance,What is my available balance?,1199580,,,manual entry,1/1/2018 6:10,
518782,What is my routing number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199581,,,manual entry,1/1/2018 6:13,
518787,Is my account closed,Can I suspend or cancel my account?,1199583,,,manual entry,1/1/2018 6:21,
518790,how to create a savings account,What types of savings accounts are available?,1199584,,,manual entry,1/1/2018 6:21,
518791,Lost card,How do I get a replacement card?,1199585,,,manual entry,1/1/2018 6:28,
518796,"I checked Wells Fargo morgage statement and said they received a payment on the #### of December , but I don't see it posted in my account?",How to view my online statement?,1199588,,,manual entry,1/1/2018 6:29,
518801,cash until payday loan,How do I make a payment?,1199589,,,manual entry,1/1/2018 6:30,
518803,payday loan,How do I make a payment?,1199589,,,manual entry,1/1/2018 6:31,
518807,"What if i spend the ### i had to deposit when starting the account? Can my card be at zero, as long as i get a monthly deposit in the account?",Transaction Inquiry - I do not recognize this transaction,1199590,,,manual entry,1/1/2018 6:33,
518809,I cant find my routing number,How do I determine my routing or account number?,1199591,,,manual entry,1/1/2018 6:38,
518811,LOST credit card,How do I get a replacement card?,1199592,,,manual entry,1/1/2018 6:40,
518813,Lost card,How do I get a replacement card?,1199593,,,manual entry,1/1/2018 6:42,
518815,How do I stop an automatic payment,How do I stop a payment made from U.S. Bank?,1199594,,,manual entry,1/1/2018 6:49,
518822,How do I stop an automatic payment that is pending,How do I stop a payment made from U.S. Bank?,1199594,,,manual entry,1/1/2018 6:53,
518823,Stop auto pay,How do I stop a payment made from U.S. Bank?,1199596,,,manual entry,1/1/2018 6:53,
518840,Why doesnt my savings account show on here,What types of savings accounts are available?,1199602,,,manual entry,1/1/2018 7:14,
518845,Travel alert,How do I notify U.S. Bank that I'll be traveling?,1199603,,,manual entry,1/1/2018 7:18,
518849,Why is my app asking me two security wuestions now instead of just one ?,How do I download the U.S. Bank Mobile App?,1199605,,,manual entry,1/1/2018 7:23,
518856,Does US Bank have a budgeting app,How do I download the U.S. Bank Mobile App?,1199607,,,manual entry,1/1/2018 7:27,
518858,Does the app focus on budgeting?,How do I download the U.S. Bank Mobile App?,1199607,,,manual entry,1/1/2018 7:28,
518863,Do you have budgeting help?,Hello,1199607,,,manual entry,1/1/2018 7:28,
518864,Need my account and routing numbers,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199609,,,manual entry,1/1/2018 7:31,
518867,My checkbook was stolen can you change my checking account,What types of checking accounts are available?,1199610,,,manual entry,1/1/2018 7:36,
518872,Traveling,How do I notify U.S. Bank that I'll be traveling?,1199611,,,manual entry,1/1/2018 7:39,
518875,How can I get more credit on my credit card,How do I get a replacement card?,1199612,,,manual entry,1/1/2018 7:41,
518882,"My card expires soon, how do I renew it?",What happens when my credit card expires?,1199617,,,manual entry,1/1/2018 7:43,
518888,Zelle,"How do I send, receive, or request money?",1199618,,,manual entry,1/1/2018 7:54,
518892,I have charges on my card I don&acirc;t recognize,Transaction Inquiry - I do not recognize this transaction,1199619,,,manual entry,1/1/2018 7:55,
518903,Myrewards balance,What is my available balance?,1199622,,,manual entry,1/1/2018 8:01,
518907,How long do mobile deposits take on average,How do I use Mobile Check Deposit?,1199623,,,manual entry,1/1/2018 8:03,
518911,Deposit funds available,What is my available balance?,1199624,,,manual entry,1/1/2018 8:04,
518918,LIne of credit,What types of loans and lines of credit are available?,1199628,,,manual entry,1/1/2018 8:12,
518924,I would like to set up touch id,How do I Enable or disable Touch ID?,1199631,,,manual entry,1/1/2018 8:17,
518925,I have a charge that I did not authorized,Transaction Inquiry - I do not recognize this transaction,1199630,,,manual entry,1/1/2018 8:17,
518929,Thankscyour no help,Goodbye,1199630,,,manual entry,1/1/2018 8:18,
518931,How do I deposit a check,How do I use Mobile Check Deposit?,1199632,,,manual entry,1/1/2018 8:20,
518934,TOuch id,What is Touch ID?,1199634,,,manual entry,1/1/2018 8:21,
518938,How can I change my address,How do I update my personal profile?,1199635,,,manual entry,1/1/2018 8:23,
518939,How to receive money with zelle,How do I receive money?,1199636,,,manual entry,1/1/2018 8:24,
518954,Found a transaction I didn't makw,Transaction Inquiry - I do not recognize this transaction,1199643,,,manual entry,1/1/2018 8:31,
518964,How do i make a payment threw western union,How do I make a payment?,1199648,,,manual entry,1/1/2018 8:33,
518966,How do I get a new card,How do I get a replacement card?,1199650,,,manual entry,1/1/2018 8:34,
518973,Last six months checking account,How do I view my transaction history?,1199653,,,manual entry,1/1/2018 8:38,
518975,Need new card,How do I get a replacement card?,1199650,,,manual entry,1/1/2018 8:39,
518977,How do I activate my new card,How do I activate my card?,1199654,,,manual entry,1/1/2018 8:39,
518982,Credit score,How do I find my credit score?,1199655,,,manual entry,1/1/2018 8:40,
518983,Credit card denied,Why was my card declined?,1199656,,,manual entry,1/1/2018 8:40,
518986,how long it take for mobile deposit to be marked pending,Transaction Inquiry - I do not recognize this transaction,1199657,,,manual entry,1/1/2018 8:42,
518987,does not say deposited check is pending,Transaction Inquiry - I do not recognize this transaction,1199657,,,manual entry,1/1/2018 8:43,
518990,Reward travel,How do I notify U.S. Bank that I'll be traveling?,1199659,,,manual entry,1/1/2018 8:43,
518996,Changing billing address,How do I update my personal profile?,1199662,,,manual entry,1/1/2018 8:45,
518999,My debit card isn&acirc;t working,How do I get a replacement card?,1199664,,,manual entry,1/1/2018 8:48,
519008,Can I order replacement checks online?,How do I view an image of a check online?,1199668,,,manual entry,1/1/2018 8:51,
519009,How do I order checks online,How do I view an image of a check online?,1199668,,,manual entry,1/1/2018 8:52,
519010,How to cancel a payment,How do I cancel a payment to a business?,1199669,,,manual entry,1/1/2018 8:52,
519014,Can I still cancel a processed payment?,How do I cancel a payment to a business?,1199669,,,manual entry,1/1/2018 8:53,
519018,Cancel my card,How do I cancel my credit card?,1199670,,,manual entry,1/1/2018 8:54,
519019,I lost my card,How do I get a replacement card?,1199670,,,manual entry,1/1/2018 8:54,
519027,How do I add mobile deposit to account,How do I view my transaction history?,1199675,,,manual entry,1/1/2018 8:59,
519030,Credit line increase,What types of loans and lines of credit are available?,1199678,,,manual entry,1/1/2018 9:00,
519032,Why was my card denied,Why was my card declined?,1199679,,,manual entry,1/1/2018 9:02,
519035,Where can I see my full account number,How do I determine my credit card number?,1199680,,,manual entry,1/1/2018 9:02,
519043,Chat?,How do I escalate my issue immediately?,1199679,,,manual entry,1/1/2018 9:03,
519044,Live chat,How do I escalate my issue immediately?,1199679,,,manual entry,1/1/2018 9:04,
519045,HOW can I get a new card,How do I get a replacement card?,1199682,,,manual entry,1/1/2018 9:04,
519047,Change of address,How do I update my personal profile?,1199683,,,manual entry,1/1/2018 9:04,
519050,How to make an electronic deposit,Transaction Inquiry - I do not recognize this transaction,1199684,,,manual entry,1/1/2018 9:05,
519053,Someone refund ####### to my checking account ########### on ######## but it doesn&acirc;t show up on my account yet. What&acirc;s wrong with that?,What types of checking accounts are available?,1199685,,,manual entry,1/1/2018 9:07,
519056,Change billing address,How do I update my personal profile?,1199688,,,manual entry,1/1/2018 9:08,
519061,Minimum balance needed in a savings account?,What is my available balance?,1199690,,,manual entry,1/1/2018 9:09,
519071,Why was my deposit of ###### rejected,Why was my card declined?,1199692,,,manual entry,1/1/2018 9:11,
519077,How I close one account?,Can I suspend or cancel my account?,1199695,,,manual entry,1/1/2018 9:13,
519084,Forgot debit card password,How do I get a replacement card?,1199698,,,manual entry,1/1/2018 9:15,
519085,How do I check my credit score,How do I find my credit score?,1199699,,,manual entry,1/1/2018 9:15,
519086,Isn't there a way to get a new password? I didn't lose my card,How do I get a replacement card?,1199698,,,manual entry,1/1/2018 9:16,
519087,I did a next day send money,"How do I send, receive, or request money?",1199700,,,manual entry,1/1/2018 9:16,
519091,I over paid my credit card,How do I make a payment?,1199701,,,manual entry,1/1/2018 9:17,
519094,Request new card,How do I get a replacement card?,1199703,,,manual entry,1/1/2018 9:18,
519097,Zelle instant limit,"How do I send, receive, or request money?",1199705,,,manual entry,1/1/2018 9:18,
519102,WHAt is my rouuing number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199708,,,manual entry,1/1/2018 9:19,
519107,Hi,Hello,1199711,,,manual entry,1/1/2018 9:20,
519108,How to open savings account,What types of savings accounts are available?,1199712,,,manual entry,1/1/2018 9:20,
519110,Balance,What is my available balance?,1199713,,,manual entry,1/1/2018 9:20,
519111,Bye,Goodbye,1199711,,,manual entry,1/1/2018 9:20,
519112,What is the bank hours today?,How do I locate a branch?,1199709,,,manual entry,1/1/2018 9:20,
519113,Want new debit card,How do I get a replacement card?,1199714,,,manual entry,1/1/2018 9:22,
519116,Credit card payments,How do I make a payment?,1199716,,,manual entry,1/1/2018 9:23,
519120,Are any branches open today?,How do I locate a branch?,1199717,,,manual entry,1/1/2018 9:23,
519134,Stop payment,How do I stop a payment made from U.S. Bank?,1199724,,,manual entry,1/1/2018 9:32,
519137,Hello,Hello,1199726,,,manual entry,1/1/2018 9:33,
519138,Need to contact banker,How do I escalate my issue immediately?,1199725,,,manual entry,1/1/2018 9:33,
519140,Live chat,How do I escalate my issue immediately?,1199725,,,manual entry,1/1/2018 9:34,
519141,How do I get my account number?,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199727,,,manual entry,1/1/2018 9:34,
519143,There was an unusual charge on my debit card to a Lyft ride in San Francisco....I live in northern Minnesota and I know no one in California.,Transaction Inquiry - I do not recognize this transaction,1199728,,,manual entry,1/1/2018 9:36,
519144,How to use credit card rewards,How do I activate my credit card?,1199729,,,manual entry,1/1/2018 9:37,
519152,My savings account card was denied,Why was my card declined?,1199732,,,manual entry,1/1/2018 9:38,
519151,How can I get a credit card,How do I get a replacement card?,1199731,,,manual entry,1/1/2018 9:38,
519156,My credit card declined,Why was my card declined?,1199734,,,manual entry,1/1/2018 9:38,
519157,Not a bank card,How do I get a replacement card?,1199731,,,manual entry,1/1/2018 9:39,
519161,Holiday hours,How do I locate a branch?,1199736,,,manual entry,1/1/2018 9:41,
519163,How do I get a cash advance off of my credit card today,How do I get a replacement card?,1199737,,,manual entry,1/1/2018 9:41,
519165,How do I get a cash advance,How do I receive money?,1199737,,,manual entry,1/1/2018 9:42,
519167,How do I close my savings account,Can I suspend or cancel my account?,1199739,,,manual entry,1/1/2018 9:42,
519173,Can i see my statement,How to view my online statement?,1199741,,,manual entry,1/1/2018 9:42,
519178,What happens when you do not authorize a payment,Transaction Inquiry - I do not recognize this transaction,1199742,,,manual entry,1/1/2018 9:44,
519184,"Hello, Bank open today?",Hello,1199745,,,manual entry,1/1/2018 9:45,
519186,How do I get a Pin reminder,How do I set up or manage alerts?,1199746,,,manual entry,1/1/2018 9:46,
519187,"Ok, thank you",Goodbye,1199745,,,manual entry,1/1/2018 9:46,
519188,How to use zelle,"How do I send, receive, or request money?",1199747,,,manual entry,1/1/2018 9:46,
519189,why is my funds of ####### held for deposit,What is my available balance?,1199748,,,manual entry,1/1/2018 9:46,
519190,"I forgot my debit card pin, how do I fix this?",How do I get a replacement card?,1199746,,,manual entry,1/1/2018 9:46,
519196,What&acirc;s my account number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199750,,,manual entry,1/1/2018 9:47,
519199,what's my routine &amp; account number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199752,,,manual entry,1/1/2018 9:47,
519211,What are the fees for sending money?,"How do I send, receive, or request money?",1199747,,,manual entry,1/1/2018 9:48,
519226,Unauthorized charge pending on my account,Transaction Inquiry - I do not recognize this transaction,1199755,,,manual entry,1/1/2018 9:49,
519233,What are the fees to send ?,Transaction Inquiry - I do not recognize this transaction,1199747,,,manual entry,1/1/2018 9:50,
519234,Can you receive money without a bank account,How do I receive money?,1199756,,,manual entry,1/1/2018 9:51,
519236,Fee to send money,"How do I send, receive, or request money?",1199747,,,manual entry,1/1/2018 9:51,
519241,How does zelle work?,"How do I send, receive, or request money?",1199747,,,manual entry,1/1/2018 9:52,
519242,my transactions that say pending have they already been deducted from my available balance,Transaction Inquiry - I do not recognize this transaction,1199757,,,manual entry,1/1/2018 9:52,
519244,When will my mortgage payment be taken from my checking account,Can I suspend or cancel my account?,1199758,,,manual entry,1/1/2018 9:52,
519252,What is the close date on my credit card,How do I cancel my credit card?,1199759,,,manual entry,1/1/2018 9:53,
519254,"No, I want the close date",How do I escalate my issue immediately?,1199759,,,manual entry,1/1/2018 9:53,
519256,I want to make pay for us bank,How do I make a payment?,1199761,,,manual entry,1/1/2018 9:54,
519262,If I make a payment on my due date but it&acirc;s a holiday will it go through or be late?,How do I make a payment?,1199760,,,manual entry,1/1/2018 9:55,
519265,I already made the payment,How do I make a payment?,1199760,,,manual entry,1/1/2018 9:55,
519273,Hours at my local bank today,How do I locate a branch?,1199764,,,manual entry,1/1/2018 9:56,
519274,AM I set up with auto pay,How do I make a payment?,1199765,,,manual entry,1/1/2018 9:56,
519281,How can I get a secured credit card,How do I get a replacement card?,1199766,,,manual entry,1/1/2018 9:57,
519292,How do I change the code on the back of my debit card,How do I get a replacement card?,1199767,,,manual entry,1/1/2018 9:58,
519295,Is my deposit pending,Transaction Inquiry - I do not recognize this transaction,1199770,,,manual entry,1/1/2018 9:59,
519297,I want to order checks for my checking account,What types of checking accounts are available?,1199769,,,manual entry,1/1/2018 9:59,
519301,what is my routing number,"How do I determine my account number, routing number, or other information needed for fund transfers?",1199772,,,manual entry,1/1/2018 10:00,
519304,My name is Helen I lost my ATM card,How do I get a replacement card?,1199773,,,manual entry,1/1/2018 10:02,
